timestamp,likes,retweets,replies
2019-09-10 06:16:34,2245,137,19
2019-09-10 12:34:49,379,19,3
2019-09-10 13:11:38,142,15,0
2019-09-10 13:13:27,0,0,0
2019-09-10 14:48:07,22,3,1
2019-09-10 16:24:15,174,13,21
2019-09-11 08:47:28,319,15,4
2019-09-11 15:09:31,189,25,51
2019-09-11 18:23:40,122,11,16
2019-09-12 06:47:00,279,15,22
2019-09-12 12:19:07,375,25,1
2019-09-12 13:22:37,208,16,2
2019-09-13 08:05:49,163,15,3
2019-09-13 10:34:13,90,11,2
2019-09-13 11:51:20,2035,169,36
2019-09-13 11:56:55,815,78,10
2019-09-13 13:31:06,110,14,6
2019-09-13 14:36:56,216,25,4
2019-09-13 15:15:20,298,30,7
2019-09-13 16:45:10,161,18,6
2019-09-13 17:31:07,98,7,1
2019-09-13 18:00:27,74,5,0
2019-09-13 18:10:13,84,9,2
2019-09-13 18:23:45,101,14,1
2019-09-13 18:47:52,73,7,0
2019-09-13 19:04:04,95,11,1
2019-09-13 19:05:24,41,8,0
2019-09-13 19:06:36,43,7,0
2019-09-13 19:22:43,53,5,2
2019-09-13 19:40:04,49,5,5
2019-09-13 19:53:49,123,13,10
2019-09-13 20:00:37,657,69,2
2019-09-13 20:48:19,127,7,2
2019-09-14 05:34:00,546,62,4
2019-09-14 10:19:33,150,14,36
2019-09-14 11:30:46,130,9,2
2019-09-14 13:07:06,142,7,2
2019-09-14 13:15:06,40,4,0
2019-09-14 13:21:45,37,2,0
2019-09-14 13:53:40,70,10,0
2019-09-14 14:02:55,56,6,1
2019-09-14 14:25:04,92,6,0
2019-09-14 14:39:47,520,49,9
2019-09-14 15:25:19,359,23,4
2019-09-14 15:43:50,39,7,1
2019-09-14 16:08:16,135,10,1
2019-09-14 16:27:57,56,8,0
2019-09-14 16:29:34,160,13,1
2019-09-14 16:32:06,75,15,2
2019-09-14 16:36:46,45,3,1
2019-09-14 16:39:43,52,3,4
2019-09-14 16:44:22,37,1,1
2019-09-14 16:51:33,186,20,3
2019-09-14 16:53:14,79,14,16
2019-09-14 17:02:25,47,5,2
2019-09-14 17:03:04,82,8,10
2019-09-14 17:09:29,44,2,2
2019-09-14 17:21:41,205,37,7
2019-09-14 17:27:42,1282,106,13
2019-09-14 17:35:06,168,14,2
2019-09-14 17:46:09,240,16,2
2019-09-14 17:53:01,158,19,2
2019-09-14 18:00:56,67,2,0
2019-09-14 18:04:21,142,12,4
2019-09-14 18:09:00,61,5,1
2019-09-14 18:09:58,165,22,7
2019-09-14 18:13:25,340,34,8
2019-09-14 18:22:12,506,125,6
2019-09-14 19:02:07,840,77,6
2019-09-14 19:16:10,236,28,1
2019-09-15 05:34:03,1949,120,10
2019-09-15 15:01:22,104,9,2
2019-09-15 17:04:10,245,39,5
2019-09-16 08:30:47,102,9,2
2019-09-16 11:34:42,113,10,8
2019-09-16 13:12:08,86,6,0
2019-09-16 14:33:13,378,35,2
2019-09-16 14:49:33,117,8,0
2019-09-16 14:57:24,133,8,11
2019-09-16 16:45:16,224,20,13
2019-09-16 17:30:42,365,21,16
2019-09-16 18:01:28,65,6,0
2019-09-16 18:02:22,232,15,0
2019-09-16 18:06:32,154,12,5
2019-09-16 18:48:25,106,8,2
2019-09-16 18:50:07,205,12,31
2019-09-16 19:05:52,82,7,3
2019-09-16 19:53:35,143,10,2
2019-09-16 19:55:02,262,28,5
2019-09-16 20:22:08,255,18,0
2019-09-17 05:34:00,1336,142,18
2019-09-17 08:58:09,159,14,4
2019-09-17 10:00:14,59,8,1
2019-09-17 10:04:35,460,36,9
2019-09-17 10:29:40,170,9,3
2019-09-17 10:59:01,449,39,4
2019-09-17 11:12:07,151,25,10
2019-09-17 11:50:29,96,7,1
2019-09-17 11:54:00,449,34,4
2019-09-17 12:05:32,36,5,0
2019-09-17 12:09:05,82,8,3
2019-09-17 12:24:09,113,9,2
2019-09-17 12:41:00,72,8,2
2019-09-17 12:52:36,64,5,0
2019-09-17 13:00:21,175,12,5
2019-09-17 13:06:13,33,5,1
2019-09-17 13:53:45,85,11,1
2019-09-17 13:55:32,192,26,2
2019-09-17 14:31:22,453,44,3
2019-09-17 15:28:11,199,19,29
2019-09-17 17:17:57,348,30,2
2019-09-17 17:59:18,477,38,5
2019-09-17 18:17:56,85,9,1
2019-09-17 18:24:54,227,21,106
2019-09-17 18:55:05,119,12,17
2019-09-17 19:00:15,223,26,3
2019-09-17 19:00:48,313,53,7
2019-09-17 19:06:25,66,8,2
2019-09-17 19:14:57,145,13,5
2019-09-17 19:17:17,58,5,1
2019-09-17 19:32:42,342,43,2
2019-09-17 19:39:59,53,6,7
2019-09-17 19:42:58,131,14,2
2019-09-17 19:45:56,125,14,3
2019-09-17 19:46:55,493,64,47
2019-09-17 20:01:50,156,28,3
2019-09-17 20:05:36,148,17,5
2019-09-17 20:11:39,325,17,9
2019-09-17 20:15:24,131,8,2
2019-09-17 20:18:36,13071,1472,92
2019-09-17 20:26:45,1250,114,14
2019-09-17 20:33:14,239,18,5
2019-09-17 20:39:32,208,16,2
2019-09-17 20:43:10,128,13,1
2019-09-17 20:46:30,69,8,0
2019-09-17 20:46:53,101,8,2
2019-09-17 20:49:34,2133,439,39
2019-09-17 21:11:49,876,59,4
2019-09-17 21:28:48,3041,162,22
2019-09-17 21:47:14,337,28,2
2019-09-17 21:53:30,5575,275,73
2019-09-17 22:08:17,590,32,2
2019-09-18 05:34:09,1722,80,26
2019-09-18 06:46:00,1819,129,11
2019-09-18 08:31:54,387,26,3
2019-09-18 08:40:43,234,25,3
2019-09-18 08:53:36,324,23,8
2019-09-18 11:23:52,4806,395,50
2019-09-18 12:35:02,608,36,14
2019-09-18 14:22:18,789,46,21
2019-09-18 16:30:47,375,15,6
2019-09-19 13:35:59,317,11,14
2019-09-19 15:04:49,245,8,9
2019-09-19 15:30:26,462,12,6
2019-09-19 17:05:00,1866,190,34
2019-09-20 07:59:49,310,17,8
2019-09-20 08:05:09,184,14,3
2019-09-20 10:45:00,94,4,4
2019-09-20 11:19:10,65,5,1
2019-09-20 12:34:05,106,9,3
2019-09-20 14:28:02,524,36,5
2019-09-20 14:37:31,4058,170,14
2019-09-20 14:45:29,137,16,2
2019-09-20 16:51:17,167,20,5
2019-09-20 18:01:43,47,4,0
2019-09-20 18:04:18,43,7,0
2019-09-20 18:51:23,76,10,0
2019-09-20 18:59:00,140,9,0
2019-09-20 19:06:47,50,6,0
2019-09-20 19:21:10,111,9,0
2019-09-20 19:51:20,79,9,3
2019-09-20 19:51:56,35,3,1
2019-09-20 19:55:17,82,7,3
2019-09-20 20:24:38,184,10,3
2019-09-20 20:38:34,115,10,3
2019-09-21 08:16:59,187,9,3
2019-09-21 09:42:06,184,8,1
2019-09-21 12:17:06,86,10,1
2019-09-21 12:33:08,71,5,2
2019-09-21 12:50:26,63,4,0
2019-09-21 13:02:41,34,4,1
2019-09-21 13:19:38,39,1,0
2019-09-21 13:21:42,42,3,0
2019-09-21 13:37:58,38,1,0
2019-09-21 13:53:49,65,3,0
2019-09-21 14:04:32,68,4,1
2019-09-21 14:30:24,110,6,1
2019-09-21 17:47:10,424,25,3
2019-09-21 20:05:44,130,7,1
2019-09-22 05:34:00,831,129,10
2019-09-22 07:37:09,261,15,3
2019-09-22 08:37:15,422,31,5
2019-09-22 12:10:35,323,22,14
2019-09-22 12:52:31,252,19,6
2019-09-22 13:37:52,227,24,4
2019-09-22 13:47:15,205,11,9
2019-09-22 14:15:49,238,19,8
2019-09-22 14:25:42,163,15,1
2019-09-22 14:43:06,160,12,2
2019-09-22 14:46:58,176,28,0
2019-09-22 14:55:30,56,1,0
2019-09-22 15:01:37,43,3,1
2019-09-22 15:05:58,50,2,0
2019-09-22 15:10:02,94,8,4
2019-09-22 15:14:22,84,6,1
2019-09-22 15:16:23,60,5,0
2019-09-22 15:20:46,61,3,2
2019-09-22 15:23:28,48,5,0
2019-09-22 15:25:11,73,5,3
2019-09-22 15:31:53,47,5,1
2019-09-22 15:32:56,63,5,3
2019-09-22 15:33:07,156,28,7
2019-09-22 15:49:10,63,8,1
2019-09-22 15:52:37,62,3,1
2019-09-22 15:54:44,39,3,1
2019-09-22 15:58:18,44,6,1
2019-09-22 16:01:24,40,2,1
2019-09-22 16:02:49,86,5,2
2019-09-22 16:11:05,59,5,1
2019-09-22 16:12:00,339,48,7
2019-09-22 16:16:35,409,35,1
2019-09-22 16:21:22,72,23,13
2019-09-22 16:25:31,83,7,3
2019-09-22 16:33:53,46,7,4
2019-09-22 16:36:48,536,138,31
2019-09-22 16:56:41,100,15,2
2019-09-22 17:44:44,582,44,8
2019-09-23 08:31:06,68,5,5
2019-09-23 08:38:58,308,22,5
2019-09-23 09:41:17,377,33,17
2019-09-23 09:53:07,270,13,60
2019-09-23 13:20:43,222,17,2
2019-09-23 13:25:16,364,23,0
2019-09-23 20:14:24,2321,253,17
2019-09-24 07:01:24,212,11,29
2019-09-24 15:36:45,5820,319,12
2019-09-24 16:13:28,313,23,2
2019-09-24 17:03:51,304,25,3
2019-09-24 18:43:45,151,12,1
2019-09-25 05:34:00,1256,116,18
2019-09-25 07:43:02,804,51,10
2019-09-25 09:48:43,192,15,4
2019-09-25 16:40:40,384,24,6
2019-09-25 17:35:03,426,42,5
2019-09-25 18:00:26,53,9,1
2019-09-25 18:13:40,112,12,0
2019-09-25 18:22:00,187,15,31
2019-09-25 18:39:13,223,22,1
2019-09-25 18:44:45,284,15,2
2019-09-25 18:53:23,52,8,3
2019-09-25 19:01:19,65,4,0
2019-09-25 19:02:45,44,4,1
2019-09-25 19:11:01,41,5,0
2019-09-25 19:14:43,37,3,1
2019-09-25 19:23:30,87,9,0
2019-09-25 19:26:25,67,10,1
2019-09-25 19:30:35,47,3,2
2019-09-25 19:37:11,94,23,12
2019-09-25 19:42:26,48,6,0
2019-09-25 19:53:33,154,12,3
2019-09-25 19:54:16,120,15,9
2019-09-25 19:56:33,60,7,0
2019-09-25 20:10:40,344,28,8
2019-09-25 20:10:40,344,28,8
2019-09-25 20:19:23,131,21,2
2019-09-25 20:19:23,131,21,2
2019-09-25 20:28:32,96,11,1
2019-09-25 20:28:32,96,11,1
2019-09-25 20:31:33,40,6,1
2019-09-25 20:31:33,40,6,1
2019-09-25 20:34:28,579,64,1
2019-09-25 20:34:28,579,64,1
2019-09-25 20:41:07,636,132,12
2019-09-25 20:41:07,636,132,12
2019-09-25 21:04:02,844,82,10
2019-09-25 21:04:02,844,82,10
2019-09-25 21:24:36,537,57,3
2019-09-25 21:24:36,537,57,3
2019-09-25 21:34:01,558,39,4
2019-09-25 21:34:01,558,39,4
2019-09-26 05:34:02,790,56,6
2019-09-26 06:31:45,400,40,1
2019-09-26 09:08:06,1137,82,11
2019-09-26 14:28:31,107,7,2
2019-09-26 15:40:06,2066,1406,67
2019-09-27 12:42:24,60,10,1
2019-09-27 15:07:20,1036,102,3
2019-09-27 15:36:36,351,39,13
2019-09-27 16:46:08,119,15,4
2019-09-27 17:05:28,149,11,1
2019-09-27 17:36:15,133,8,3
2019-09-27 18:01:59,88,7,4
2019-09-27 18:41:04,111,7,1
2019-09-27 18:51:03,63,4,0
2019-09-27 19:05:17,72,4,0
2019-09-27 19:30:41,131,11,2
2019-09-27 19:37:16,93,9,3
2019-09-27 19:46:43,100,12,1
2019-09-27 19:51:48,48,6,0
2019-09-27 19:57:13,285,24,4
2019-09-27 20:24:57,182,19,1
2019-09-28 05:34:00,373,41,5
2019-09-28 08:12:08,160,10,11
2019-09-28 09:03:28,129,10,5
2019-09-28 11:29:05,559,45,4
2019-09-28 12:10:23,89,13,4
2019-09-28 12:36:26,46,5,3
2019-09-28 12:45:27,27,5,1
2019-09-28 12:53:02,68,5,0
2019-09-28 13:21:02,26,5,3
2019-09-28 13:22:06,27,1,1
2019-09-28 13:38:23,37,3,1
2019-09-28 13:55:30,27,2,0
2019-09-28 14:07:19,31,4,2
2019-09-28 14:13:16,53,8,11
2019-09-28 14:15:23,32,3,2
2019-09-28 14:20:25,24,3,1
2019-09-28 14:27:57,29,3,1
2019-09-28 14:29:38,60,6,8
2019-09-28 14:42:15,102,12,4
2019-09-28 16:58:05,49,8,15
2019-09-28 17:15:18,246,17,6
2019-09-28 17:21:15,439,84,10
2019-09-28 17:31:23,61,6,3
2019-09-28 17:41:20,37,6,0
2019-09-28 17:44:39,164,17,1
2019-09-28 17:45:38,107,14,14
2019-09-28 17:52:14,50,6,1
2019-09-28 17:54:40,43,6,0
2019-09-28 18:05:10,55,5,1
2019-09-28 18:10:04,79,11,1
2019-09-28 18:15:07,67,9,1
2019-09-28 18:17:35,105,6,5
2019-09-28 18:23:05,46,5,0
2019-09-28 18:24:07,40,5,0
2019-09-28 18:26:56,29,5,3
2019-09-28 18:31:23,54,4,3
2019-09-28 18:34:11,92,19,10
2019-09-28 18:50:31,144,14,1
2019-09-28 18:51:25,146,15,3
2019-09-28 18:57:01,54,3,2
2019-09-28 19:03:25,107,14,6
2019-09-28 19:04:50,48,3,7
2019-09-28 19:12:15,100,11,5
2019-09-28 19:13:54,98,9,3
2019-09-28 19:16:45,47,1,3
2019-09-28 19:19:17,112,8,7
2019-09-28 19:20:35,41,6,2
2019-09-28 19:27:50,132,13,7
2019-09-28 19:37:36,49,3,0
2019-09-28 19:40:39,1035,170,19
2019-09-28 20:04:39,925,81,10
2019-09-28 20:17:21,179,13,2
2019-09-28 20:37:29,375,18,30
2019-09-29 06:34:02,382,30,2
2019-09-29 07:35:54,711,33,2
2019-09-29 11:32:06,486,29,5
2019-09-29 14:35:22,162,11,2
2019-09-29 15:42:15,1926,133,12
2019-09-30 07:32:36,3533,177,24
2019-09-30 09:30:29,98,5,7
2019-09-30 15:21:35,106,11,3
2019-10-01 09:53:53,375,21,4
2019-10-01 11:14:03,485,38,15
2019-10-01 11:19:04,14,2,1
2019-10-01 12:03:27,276,17,4
2019-10-01 12:08:42,224,15,2
2019-10-01 12:22:38,207,23,4
2019-10-01 13:33:43,125,12,1
2019-10-01 14:27:18,373,32,7
2019-10-01 15:03:59,303,42,7
2019-10-01 15:32:58,616,34,20
2019-10-01 16:21:21,363,30,9
2019-10-01 17:16:31,94,7,1
2019-10-01 19:09:03,95,12,1
2019-10-01 19:15:29,325,39,4
2019-10-01 19:44:19,1125,62,12
2019-10-01 20:05:11,4,0,0
2019-10-01 20:14:42,226,15,0
2019-10-02 05:34:00,910,119,19
2019-10-02 10:05:41,206,12,3
2019-10-02 10:42:12,174,7,3
2019-10-02 10:55:31,204,16,1
2019-10-02 10:59:29,59,6,0
2019-10-02 11:06:27,92,8,4
2019-10-02 11:38:38,120,7,0
2019-10-02 12:03:46,50,6,1
2019-10-02 12:09:39,31,2,0
2019-10-02 12:18:55,99,9,0
2019-10-02 12:25:28,74,6,0
2019-10-02 12:28:42,35,3,0
2019-10-02 12:43:16,109,11,0
2019-10-02 12:47:42,124,8,0
2019-10-02 13:04:28,76,5,1
2019-10-02 13:10:20,70,3,1
2019-10-02 13:16:27,96,9,2
2019-10-02 13:25:05,122,6,1
2019-10-02 13:26:28,40,3,0
2019-10-02 13:27:45,62,4,1
2019-10-02 13:42:37,64,1,3
2019-10-02 13:51:53,53,6,0
2019-10-02 13:53:39,291,27,3
2019-10-02 14:12:41,599,57,19
2019-10-02 15:23:51,146,11,0
2019-10-02 16:27:27,892,1459,80
2019-10-02 16:33:52,92,9,15
2019-10-02 16:40:07,440,39,3
2019-10-02 17:55:03,414,35,12
2019-10-02 18:01:10,203,22,0
2019-10-02 18:03:16,334,17,5
2019-10-02 18:14:39,86,13,1
2019-10-02 18:43:30,319,30,0
2019-10-02 18:54:56,109,11,1
2019-10-02 18:58:28,347,37,4
2019-10-02 18:59:48,161,26,0
2019-10-02 19:02:37,89,10,4
2019-10-02 19:05:40,47,8,2
2019-10-02 19:12:37,54,11,2
2019-10-02 19:14:02,810,108,10
2019-10-02 19:23:36,85,19,6
2019-10-02 19:29:03,61,13,9
2019-10-02 19:31:13,258,35,3
2019-10-02 19:43:46,167,11,5
2019-10-02 19:45:52,57,8,0
2019-10-02 19:46:46,72,8,0
2019-10-02 19:46:53,874,130,23
2019-10-02 19:52:05,1090,89,13
2019-10-02 20:02:39,207,23,2
2019-10-02 20:04:16,603,51,8
2019-10-02 20:13:06,56,6,0
2019-10-02 20:15:50,58,7,1
2019-10-02 20:17:07,39,6,0
2019-10-02 20:18:34,168,23,3
2019-10-02 20:21:54,65,8,12
2019-10-02 20:28:34,1016,118,14
2019-10-02 20:38:15,61,6,9
2019-10-02 20:38:55,129,16,3
2019-10-02 20:42:38,323,29,13
2019-10-02 20:44:50,88,6,1
2019-10-02 20:45:54,152,18,6
2019-10-02 20:48:05,94,9,1
2019-10-02 20:50:18,7685,1527,316
2019-10-02 21:11:13,2799,271,25
2019-10-02 21:16:47,745,73,11
2019-10-02 21:23:08,1408,105,158
2019-10-02 21:35:37,1290,94,20
2019-10-02 22:17:13,1441,86,18
2019-10-03 05:34:03,1259,101,16
2019-10-03 06:01:00,1452,126,6
2019-10-03 07:03:00,1847,188,21
2019-10-03 08:20:08,2328,215,18
2019-10-03 08:23:31,446,33,4
2019-10-03 09:25:00,363,30,50
2019-10-03 10:14:09,1164,94,8
2019-10-03 10:43:42,387,30,5
2019-10-03 11:49:01,87,5,1
2019-10-03 11:51:30,2900,119,17
2019-10-03 13:20:46,332,28,2
2019-10-03 13:34:29,471,23,5
2019-10-03 14:29:53,1463,62,8
2019-10-03 14:42:46,880,109,12
2019-10-03 16:14:18,129,12,13
2019-10-03 22:14:41,281,15,6
2019-10-04 08:08:54,99,18,3
2019-10-04 10:21:10,244,25,0
2019-10-04 12:04:56,421,19,28
2019-10-04 12:56:57,633,33,6
2019-10-04 13:11:11,514,36,10
2019-10-04 14:01:04,2697,51,17
2019-10-04 14:14:59,77,3,1
2019-10-04 16:45:17,121,12,5
2019-10-04 17:34:00,155,8,2
2019-10-04 18:02:38,183,10,2
2019-10-04 18:25:39,120,8,4
2019-10-04 18:43:26,62,3,2
2019-10-04 18:45:53,53,8,0
2019-10-04 18:47:45,79,6,0
2019-10-04 18:49:53,48,5,0
2019-10-04 19:07:23,64,4,0
2019-10-04 19:12:59,74,10,1
2019-10-04 19:19:19,88,9,0
2019-10-04 19:22:43,41,5,0
2019-10-04 19:29:01,52,5,0
2019-10-04 19:40:41,53,5,0
2019-10-04 19:58:29,406,25,6
2019-10-04 20:02:54,551,25,7
2019-10-04 20:25:25,244,17,2
2019-10-05 08:08:47,62,4,2
2019-10-05 10:00:57,76,5,0
2019-10-05 10:11:58,32,2,0
2019-10-05 10:30:01,21,4,1
2019-10-05 10:31:40,38,4,1
2019-10-05 10:45:13,21,5,2
2019-10-05 10:49:04,33,5,1
2019-10-05 10:52:48,38,6,0
2019-10-05 11:13:35,44,4,1
2019-10-05 11:35:23,24,3,1
2019-10-05 11:42:27,41,6,0
2019-10-05 11:51:52,66,6,1
2019-10-05 11:57:51,26,7,0
2019-10-05 12:00:11,44,7,0
2019-10-05 12:02:56,68,8,1
2019-10-05 13:15:56,227,25,3
2019-10-05 13:37:51,191,23,1
2019-10-05 15:01:22,96,9,1
2019-10-06 05:34:00,444,54,7
2019-10-06 07:26:12,447,25,3
2019-10-06 08:46:16,131,9,4
2019-10-06 09:18:50,307,27,4
2019-10-06 09:28:09,49,6,3
2019-10-06 09:44:06,137,20,0
2019-10-06 09:54:34,224,19,3
2019-10-06 10:12:15,205,25,5
2019-10-06 10:13:45,382,27,5
2019-10-06 10:16:17,436,40,10
2019-10-06 10:34:27,265,41,2
2019-10-06 10:37:41,65,3,1
2019-10-06 10:44:45,67,6,2
2019-10-06 10:48:53,192,28,1
2019-10-06 10:51:23,51,10,0
2019-10-06 10:53:11,122,15,3
2019-10-06 10:58:57,88,16,0
2019-10-06 11:00:53,54,8,1
2019-10-06 11:02:08,179,27,8
2019-10-06 11:17:55,125,17,0
2019-10-06 11:18:18,79,12,12
2019-10-06 11:29:49,57,11,5
2019-10-06 11:49:37,128,16,9
2019-10-06 11:52:46,149,17,7
2019-10-06 12:02:00,142,20,2
2019-10-06 12:07:02,670,138,16
2019-10-06 12:31:49,169,17,0
2019-10-06 13:22:27,359,22,6
2019-10-07 08:47:46,107,7,1
2019-10-07 09:36:54,1954,92,12
2019-10-07 10:07:16,327,35,9
2019-10-07 15:11:34,987,76,45
2019-10-07 15:41:57,450,38,7
2019-10-07 16:49:00,163,10,11
2019-10-08 08:09:37,216,13,19
2019-10-08 09:54:22,12734,941,92
2019-10-08 10:58:22,283,40,15
2019-10-08 11:10:29,379,49,21
2019-10-08 13:15:21,553,45,2
2019-10-08 14:26:50,94,9,1
2019-10-09 06:58:12,418,21,3
2019-10-09 12:48:57,144,11,2
2019-10-09 13:39:05,431,34,2
2019-10-09 14:37:50,988,96,24
2019-10-09 14:46:17,99,10,1
2019-10-09 14:52:14,737,55,22
2019-10-09 15:01:12,63,9,16
2019-10-09 17:10:59,219,17,4
2019-10-09 18:19:36,341,17,6
2019-10-09 19:56:05,219,18,2
2019-10-09 20:22:38,270,15,2
2019-10-09 21:04:20,580,33,6
2019-10-10 12:53:40,306,14,6
2019-10-10 17:28:11,229,20,22
2019-10-10 17:28:11,229,20,22
2019-10-10 18:32:27,324,22,5
2019-10-10 18:32:27,324,22,5
2019-10-10 19:51:19,1068,143,96
2019-10-10 19:51:19,1068,143,96
2019-10-10 20:23:03,169,10,4
2019-10-10 20:23:03,169,10,4
2019-10-10 20:58:09,411,22,43
2019-10-10 20:58:09,411,22,43
2019-10-11 06:38:54,479,23,5
2019-10-11 06:38:54,479,23,5
2019-10-11 12:21:39,124,11,3
2019-10-11 12:21:39,124,11,3
2019-10-11 13:52:23,109,7,7
2019-10-11 13:52:23,109,7,7
2019-10-11 17:20:38,242,13,3
2019-10-11 17:20:38,242,13,3
2019-10-11 17:44:08,158,7,1
2019-10-11 17:44:08,158,7,1
2019-10-12 07:55:43,436,25,5
2019-10-12 11:23:28,461,33,9
2019-10-13 06:24:41,94,6,5
2019-10-13 11:38:58,92,4,0
2019-10-13 12:36:05,87,6,1
2019-10-13 12:59:03,603,60,40
2019-10-13 13:50:05,357,20,3
2019-10-13 14:49:31,376,42,5
2019-10-13 16:53:25,630,53,6
2019-10-13 18:04:38,384,33,9
2019-10-13 21:16:58,404,37,5
2019-10-14 10:20:45,230,15,3
2019-10-14 14:39:29,736,44,27
2019-10-15 08:33:09,518,35,14
2019-10-15 11:15:31,98,15,11
2019-10-15 13:42:24,393,20,7
2019-10-15 14:00:06,77,12,3
2019-10-15 17:50:32,95,5,3
2019-10-15 21:18:05,189,10,1
2019-10-16 07:23:20,124,8,1
2019-10-16 08:29:39,821,29,82
2019-10-16 09:14:01,509,65,5
2019-10-16 10:01:10,353,32,1
2019-10-16 11:59:50,2207,81,44
2019-10-16 12:34:49,345,29,5
2019-10-16 13:41:15,273,24,1
2019-10-16 14:36:31,170,17,4
2019-10-16 17:58:00,739,55,9
2019-10-17 05:41:19,370,20,6
2019-10-17 06:20:55,137,14,4
2019-10-17 08:08:17,187,22,6
2019-10-17 16:10:59,713,120,104
2019-10-18 07:49:49,220,13,4
2019-10-18 08:37:40,329,24,16
2019-10-18 08:50:01,177,14,4
2019-10-18 14:59:15,202,9,3
2019-10-18 15:32:02,167,9,0
2019-10-18 16:45:22,132,16,6
2019-10-18 17:29:50,50,3,1
2019-10-18 17:40:40,63,3,0
2019-10-18 18:02:59,56,5,2
2019-10-18 18:17:40,31,6,1
2019-10-18 18:38:19,34,5,0
2019-10-18 18:49:35,76,7,0
2019-10-18 19:06:59,59,4,1
2019-10-18 19:09:42,39,4,2
2019-10-18 19:44:02,70,4,1
2019-10-18 19:58:42,97,11,2
2019-10-18 20:15:27,95,4,1
2019-10-18 21:28:03,178,7,0
2019-10-19 05:34:00,712,71,8
2019-10-19 08:51:31,147,19,0
2019-10-19 12:30:25,49,4,0
2019-10-19 12:33:15,47,2,0
2019-10-19 12:46:32,38,4,0
2019-10-19 13:04:56,37,6,1
2019-10-19 13:09:46,43,8,1
2019-10-19 13:37:29,88,8,1
2019-10-19 13:53:00,35,7,0
2019-10-19 14:22:26,44,3,0
2019-10-19 14:28:06,99,10,2
2019-10-19 14:32:23,87,9,3
2019-10-19 15:19:03,641,86,30
2019-10-19 15:23:25,120,15,4
2019-10-19 15:27:03,178,14,9
2019-10-19 15:31:53,117,10,2
2019-10-19 15:33:54,106,15,1
2019-10-19 16:15:25,109,10,1
2019-10-19 16:22:26,402,28,5
2019-10-19 16:30:10,155,10,19
2019-10-19 16:34:20,36,3,1
2019-10-19 16:55:09,100,10,4
2019-10-19 16:59:08,55,7,0
2019-10-19 17:10:47,37,3,6
2019-10-19 17:17:47,134,19,25
2019-10-19 17:32:59,50,6,0
2019-10-19 17:39:32,34,4,2
2019-10-19 17:42:42,152,11,2
2019-10-19 17:46:13,204,16,4
2019-10-19 17:50:46,48,19,25
2019-10-19 17:53:27,52,3,3
2019-10-19 17:58:12,38,8,7
2019-10-19 18:15:13,65,8,10
2019-10-19 18:15:49,127,18,4
2019-10-19 18:22:47,56,3,2
2019-10-19 18:23:59,941,114,52
2019-10-19 18:35:21,230,24,1
2019-10-19 18:43:40,579,52,11
2019-10-19 19:44:44,377,29,3
2019-10-19 20:42:51,1821,141,59
2019-10-20 15:43:59,210,24,3
2019-10-20 17:34:47,150,11,0
2019-10-20 19:45:12,191,13,9
2019-10-21 09:23:47,110,10,3
2019-10-21 11:43:36,222,31,3
2019-10-21 13:33:30,10165,594,116
2019-10-21 17:14:15,103,12,4
2019-10-21 18:03:01,65,5,1
2019-10-21 18:18:47,91,12,2
2019-10-21 18:22:45,97,10,3
2019-10-21 18:49:04,63,5,0
2019-10-21 18:53:46,88,10,1
2019-10-21 19:02:08,273,24,3
2019-10-21 19:06:35,45,4,0
2019-10-21 19:25:50,59,6,1
2019-10-21 19:31:47,146,9,3
2019-10-21 19:48:48,168,14,4
2019-10-21 19:55:23,111,9,3
2019-10-21 20:30:26,344,23,7
2019-10-22 07:31:51,295,19,7
2019-10-22 09:21:13,850,65,13
2019-10-22 09:59:33,101,10,1
2019-10-22 10:06:22,132,11,2
2019-10-22 13:00:37,85,12,2
2019-10-22 14:52:07,180,20,2
2019-10-22 14:56:49,104,16,0
2019-10-22 17:00:52,252,21,2
2019-10-22 17:39:34,393,27,6
2019-10-22 18:16:25,111,10,1
